accession	version	length	taxid	organism	species	genus	family	collection_date	country	isolate	strain	host	genotype	submitter	seq_tech
PV418955	PV418955.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2007		PAP278967		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418778	PV418778.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2009		PAP237823		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419007	PV419007.1	7858		human papillomavirus 45	human papillomavirus	human		May-2009		PAP216191		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418764	PV418764.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2010		PAP206811		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418886	PV418886.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2008		PAP208204		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419015	PV419015.1	7858		human papillomavirus 45	human papillomavirus	human		Nov-2007		PAP226622		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426502	PV426502.1	7905		Human papillomavirus 16	Human papillomavirus	Human		2024-09-07		HPV16/Russia/SPE-RII-CS1217/2024		Homo sapiens; 33 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV419036	PV419036.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2007		PAP116072		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418751	PV418751.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2009		PAP223375		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419038	PV419038.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP176106		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418724	PV418724.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2007		PAP122882		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419002	PV419002.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2009		PAP112499		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419057	PV419057.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2009		PAP178630		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418921	PV418921.1	7858		human papillomavirus 45	human papillomavirus	human		Nov-2008		PAP271634		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418904	PV418904.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2008		PAP260210		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418989	PV418989.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2007		PAP293930		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418865	PV418865.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2009		PAP165558		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418894	PV418894.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2009		PAP203158		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418994	PV418994.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2009		PAP226166		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418849	PV418849.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2007		PAP248724		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418816	PV418816.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2011		PAP271736		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418731	PV418731.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2010		PAP263970		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419017	PV419017.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2007		PAP246494		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419037	PV419037.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP277197		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418937	PV418937.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2009		PAP165754		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418946	PV418946.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2008		PAP222166		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418952	PV418952.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2008		PAP283208		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418737	PV418737.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2008		PAP117758		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418890	PV418890.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2010		PAP132421		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418870	PV418870.1	7858		human papillomavirus 45	human papillomavirus	human		Aug-2009		PAP290885		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418931	PV418931.1	7858		human papillomavirus 45	human papillomavirus	human		Nov-2008		PAP184672		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419026	PV419026.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2008		PAP239060		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418947	PV418947.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2009		PAP277703		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418847	PV418847.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2009		PAP198125		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419031	PV419031.1	7858		human papillomavirus 45	human papillomavirus	human		Aug-2010		PAP166157		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419062	PV419062.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2009		PAP152660		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418811	PV418811.1	7858		human papillomavirus 45	human papillomavirus	human		Nov-2010		PAP200787		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418995	PV418995.1	7858		human papillomavirus 45	human papillomavirus	human		May-2009		PAP196251		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426514	PV426514.1	7906		Human papillomavirus 16	Human papillomavirus	Human		2024-06-24		HPV16/Russia/SPE-RII-CS1192/2024		Homo sapiens; 34 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418974	PV418974.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2007		PAP202253		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418794	PV418794.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2008		PAP225093		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418839	PV418839.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2009		PAP198637		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418959	PV418959.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2009		PAP140188		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418808	PV418808.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2008		PAP246702		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418848	PV418848.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2010		PAP138354		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418851	PV418851.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2009		PAP180557		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419000	PV419000.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2008		PAP243142		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418760	PV418760.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2009		PAP105598		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419016	PV419016.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2011		PAP104146		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419001	PV419001.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2008		PAP161166		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418929	PV418929.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2008		PAP287586		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418742	PV418742.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2009		PAP249540		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426508	PV426508.1	7906		Human papillomavirus 16	Human papillomavirus	Human		2024-09-25		HPV16/Russia/SPE-RII-CS1207/2024		Homo sapiens; 32 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418927	PV418927.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP216785		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419047	PV419047.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2007		PAP142370		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418773	PV418773.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2007		PAP255631		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418866	PV418866.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2009		PAP255518		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418912	PV418912.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2009		PAP229916		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418997	PV418997.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2008		PAP246760		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418762	PV418762.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2010		PAP218074		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418740	PV418740.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2009		PAP185895		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419008	PV419008.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2009		PAP257363		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418739	PV418739.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2007		PAP157935		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418950	PV418950.1	7858		human papillomavirus 45	human papillomavirus	human		May-2009		PAP204916		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418859	PV418859.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2008		PAP252364		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419014	PV419014.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2009		PAP120423		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419004	PV419004.1	7858		human papillomavirus 45	human papillomavirus	human		Nov-2010		PAP245111		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418837	PV418837.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2009		PAP253733		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418986	PV418986.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2009		PAP283457		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418990	PV418990.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2010		PAP284909		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426509	PV426509.1	7906		Human papillomavirus 16	Human papillomavirus	Human		2024-10-04		HPV16/Russia/SPE-RII-CS1208/2024		Homo sapiens; 36 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV419003	PV419003.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2010		PAP188176		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418750	PV418750.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2010		PAP241665		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418973	PV418973.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2009		PAP187085		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419043	PV419043.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2009		PAP152040		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418730	PV418730.1	7858		human papillomavirus 45	human papillomavirus	human		Nov-2010		PAP247807		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419010	PV419010.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2009		PAP240019		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
